"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 11 19:15:11 UTC 2026","Wed Mar 11 19:15:12 UTC 2026","1148","Projects","","","","","User can view projects list after login",""
"passed","Wed Mar 11 19:15:08 UTC 2026","Wed Mar 11 19:15:10 UTC 2026","1247","Navigation","","","","","Logged-in user can navigate to Users",""
"passed","Wed Mar 11 19:15:18 UTC 2026","Wed Mar 11 19:15:19 UTC 2026","995","Tasks","","","","","User can view tasks list after login",""
"passed","Wed Mar 11 19:14:57 UTC 2026","Wed Mar 11 19:14:57 UTC 2026","11","Users API","","","","","Get all users returns array of User schema",""
"passed","Wed Mar 11 19:15:31 UTC 2026","Wed Mar 11 19:15:33 UTC 2026","1134","Users","","","","","User can view users list",""
"passed","Wed Mar 11 19:15:27 UTC 2026","Wed Mar 11 19:15:30 UTC 2026","2329","Users","","","","","User can create a new user",""
"passed","Wed Mar 11 19:14:57 UTC 2026","Wed Mar 11 19:14:57 UTC 2026","11","Users API","","","","","Get user by id returns User schema",""
"passed","Wed Mar 11 19:15:07 UTC 2026","Wed Mar 11 19:15:08 UTC 2026","1369","Navigation","","","","","Logged-in user can navigate to Tasks",""
"passed","Wed Mar 11 19:15:13 UTC 2026","Wed Mar 11 19:15:15 UTC 2026","2042","Projects","","","","","User can create a new project",""
"passed","Wed Mar 11 19:15:20 UTC 2026","Wed Mar 11 19:15:21 UTC 2026","1273","Tasks","","","","","User can open Add Task drawer",""
"passed","Wed Mar 11 19:14:56 UTC 2026","Wed Mar 11 19:14:56 UTC 2026","40","App health","","","","","Root endpoint returns Hello World",""
"passed","Wed Mar 11 19:15:05 UTC 2026","Wed Mar 11 19:15:06 UTC 2026","1088","Login","","","","","Failed login with invalid credentials",""
"passed","Wed Mar 11 19:14:56 UTC 2026","Wed Mar 11 19:14:57 UTC 2026","11","Tasks API","","","","","Get tasks by projectId returns filtered array",""
"passed","Wed Mar 11 19:14:57 UTC 2026","Wed Mar 11 19:14:57 UTC 2026","11","Tasks API","","","","","Delete task returns DeleteResponse schema",""
"passed","Wed Mar 11 19:14:57 UTC 2026","Wed Mar 11 19:14:57 UTC 2026","5","Tasks API","","","","","Get non-existent task returns 404",""
"passed","Wed Mar 11 19:14:57 UTC 2026","Wed Mar 11 19:14:57 UTC 2026","13","Users API","","","","","Update user returns User schema",""
"passed","Wed Mar 11 19:15:21 UTC 2026","Wed Mar 11 19:15:23 UTC 2026","1928","Tasks","","","","","User can create a new task",""
"passed","Wed Mar 11 19:15:12 UTC 2026","Wed Mar 11 19:15:13 UTC 2026","1312","Projects","","","","","User can open Add Project drawer",""
"passed","Wed Mar 11 19:14:57 UTC 2026","Wed Mar 11 19:14:57 UTC 2026","4","Users API","","","","","Get non-existent user returns 404",""
"passed","Wed Mar 11 19:14:56 UTC 2026","Wed Mar 11 19:14:56 UTC 2026","20","Authentication","","","","","Login with invalid credentials returns 401",""
"passed","Wed Mar 11 19:15:19 UTC 2026","Wed Mar 11 19:15:20 UTC 2026","1011","Tasks","","","","","Tasks page displays correctly",""
"passed","Wed Mar 11 19:15:03 UTC 2026","Wed Mar 11 19:15:05 UTC 2026","1040","Login","","","","","Successful login with demo credentials",""
"passed","Wed Mar 11 19:15:03 UTC 2026","Wed Mar 11 19:15:03 UTC 2026","722","Login","","","","","User sees login page",""
"passed","Wed Mar 11 19:14:56 UTC 2026","Wed Mar 11 19:14:56 UTC 2026","16","Tasks API","","","","","Get all tasks returns array of Task schema",""
"passed","Wed Mar 11 19:14:57 UTC 2026","Wed Mar 11 19:14:57 UTC 2026","10","Users API","","","","","Create user returns User schema",""
"passed","Wed Mar 11 19:14:56 UTC 2026","Wed Mar 11 19:14:56 UTC 2026","11","Projects API","","","","","Create project returns Project schema",""
"passed","Wed Mar 11 19:14:57 UTC 2026","Wed Mar 11 19:14:57 UTC 2026","13","Tasks API","","","","","Create task returns Task schema",""
"passed","Wed Mar 11 19:14:56 UTC 2026","Wed Mar 11 19:14:56 UTC 2026","15","Projects API","","","","","Get project by id returns Project schema",""
"passed","Wed Mar 11 19:15:17 UTC 2026","Wed Mar 11 19:15:18 UTC 2026","1167","Projects","","","","","User sees projects list",""
"passed","Wed Mar 11 19:15:10 UTC 2026","Wed Mar 11 19:15:11 UTC 2026","1189","Navigation","","","","","Logged-in user can navigate to Projects",""
"passed","Wed Mar 11 19:15:15 UTC 2026","Wed Mar 11 19:15:17 UTC 2026","1628","Projects","","","","","User can cancel Add Project form",""
"passed","Wed Mar 11 19:14:56 UTC 2026","Wed Mar 11 19:14:56 UTC 2026","37","Authentication","","","","","Login with valid credentials returns user",""
"passed","Wed Mar 11 19:15:30 UTC 2026","Wed Mar 11 19:15:31 UTC 2026","1611","Users","","","","","User can cancel Add User form",""
"passed","Wed Mar 11 19:14:57 UTC 2026","Wed Mar 11 19:14:57 UTC 2026","14","Tasks API","","","","","Update task returns Task schema",""
"passed","Wed Mar 11 19:14:56 UTC 2026","Wed Mar 11 19:14:56 UTC 2026","6","Projects API","","","","","Get non-existent project returns 404",""
"passed","Wed Mar 11 19:15:06 UTC 2026","Wed Mar 11 19:15:07 UTC 2026","1341","Logout","","","","","User can logout",""
"passed","Wed Mar 11 19:14:56 UTC 2026","Wed Mar 11 19:14:56 UTC 2026","13","Projects API","","","","","Update project returns Project schema",""
"passed","Wed Mar 11 19:14:56 UTC 2026","Wed Mar 11 19:14:56 UTC 2026","14","Projects API","","","","","Delete project returns DeleteResponse schema",""
"passed","Wed Mar 11 19:15:23 UTC 2026","Wed Mar 11 19:15:25 UTC 2026","1614","Tasks","","","","","User can cancel Add Task form",""
"passed","Wed Mar 11 19:14:57 UTC 2026","Wed Mar 11 19:14:57 UTC 2026","13","Users API","","","","","Delete user returns DeleteResponse schema",""
"passed","Wed Mar 11 19:15:26 UTC 2026","Wed Mar 11 19:15:27 UTC 2026","1276","Users","","","","","User can open Add User drawer",""
"passed","Wed Mar 11 19:14:56 UTC 2026","Wed Mar 11 19:14:56 UTC 2026","30","Projects API","","","","","Get all projects returns array of Project schema",""
"passed","Wed Mar 11 19:14:57 UTC 2026","Wed Mar 11 19:14:57 UTC 2026","11","Tasks API","","","","","Get task by id returns Task schema",""
"passed","Wed Mar 11 19:15:25 UTC 2026","Wed Mar 11 19:15:26 UTC 2026","1161","Users","","","","","User can view users list after login",""
